,Serial,Time,Username,Observer,Tree ID,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments,UniqueID,TreeCode,Obs
921,921,10/28/2015 - 8:33am,NA,NA,2,10/28/15,301,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,NA,NA,"NA_2_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_27",20,
1873,1873,04/21/2016 - 8:42am,Canton2jcnc,NA,2,4/21/16,112,Spring,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,NA,NA,NA,no,no,no,Canton2jcnc,"Has A little of moss at the bottom of it and maybe A couple dead limbs, But it looks healthy.","NA_2_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_27",20,
1952,1952,05/05/2016 - 8:32am,Canton 2 JCNC,NA,2,5/5/16,126,Spring,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,NA,NA,NA,no,no,no,Canton 2 JCNC,yes,"NA_2_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_27",20,
2012,2012,05/13/2016 - 8:29am,Canton 2 JCNC,NA,2,5/13/16,134,Spring,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,NA,NA,NA,yes,yes,no,Canton 2 JCNC,NA,"NA_2_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_27",20,
992,992,11/06/2015 - 8:40am,NA,NA,2,11/6/15,310,Fall,Sugar Maple,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),27,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,there is some moss at the bottom,NA,"NA_2_Sugar Maple_44.61138_-75.169582_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_27",20,
1196,1196,09/26/2016 - 9:28am,NA,NA,2,9/26/16,270,Fall,Sugar Maple,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,NA,NA,"NA_2_Sugar Maple_44.611452_-75.169535_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_28",20,
1885,1885,04/21/2016 - 10:55am,c,NA,20,4/21/16,112,Spring,Sugar Maple,44.611952,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,NA,NA,NA,no,no,no,c,YES,"NA_20_Sugar Maple_44.611952_-75.169535_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_34",21,
2020,2020,05/13/2016 - 10:50am,cantonms bses,NA,20,5/13/16,134,Spring,Sugar Maple,44.611952,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),54,NA,NA,NA,yes,yes,no,cantonms bses,yes,"NA_20_Sugar Maple_44.611952_-75.169535_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_54",21,
2070,2070,05/23/2016 - 10:47am,cantonbs20,NA,20,5/23/16,144,Spring,Sugar Maple,44.611952,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),54,NA,NA,NA,yes,yes,Flowers are visible,cantonbs20,yes,"NA_20_Sugar Maple_44.611952_-75.169535_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_54",21,
1963,1963,05/05/2016 - 10:48am,cantonbs20,NA,20,5/5/16,126,Spring,Sugar Maple,44.611952,-760169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),4,NA,NA,NA,yes,no,no,cantonbs20,yes,"NA_20_Sugar Maple_44.611952_-760169535_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_4",21,
1808,1808,04/15/2016 - 10:50am,Canton 20 bses,NA,20,4/15/16,106,Spring,Sugar Maple,44.611952,75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,NA,NA,NA,no,no,no,Canton 20 bses,broken branches/limbs missing,"NA_20_Sugar Maple_44.611952_75.169535_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_34",21,
1236,1236,10/05/2016 - 1:00pm,NA,NA,20,10/5/16,279,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),41,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,small holes,NA,"NA_20_Sugar Maple_44.824019_-74.516411_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_41",21,
1383,1383,10/28/2016 - 8:50am,NA,NA,201,10/28/16,302,Fall,Sugar Maple,44.824076,-74.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),84,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,missing limb,NA,"NA_201_Sugar Maple_44.824076_-74.513876_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_84",22,
1449,1449,12/14/2016 - 10:36am,NA,NA,202,12/14/16,349,Fall,Red Maple,44.824019,-74.511504,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),NA,NA,NA,hole,Family of squirrels living in it and have seen chipmunks running up and down the trunk,"NA_202_Red Maple_44.824019_-74.511504_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_34",23,
1362,1362,10/27/2016 - 10:19am,NA,NA,202,10/27/16,301,Fall,Red Maple,44.824089,-74.511504,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,holes scraches,NA,"NA_202_Red Maple_44.824089_-74.511504_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_34",23,
1240,1240,10/05/2016 - 10:29am,NA,NA,202,10/5/16,279,Fall,Red Maple,44.824089,-74.515041,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),Middle:  Many fruits are ripe,NA,NA,NA,holes and scratches,ITS A PRETTY TREE!,"NA_202_Red Maple_44.824089_-74.515041_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_34",23,
1469,1469,10/28/2016 - 8:46am,NA,NA,202,10/28/16,302,Fall,Sugar Maple,44.824403,-74.51345,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,"bark gone,branches gone",NA,"NA_202_Sugar Maple_44.824403_-74.51345_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_28",23,
1384,1384,10/28/2016 - 8:48am,NA,NA,206,10/28/16,302,Fall,Sugar Maple,44.824403,-74.51345,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),12,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,moss tiny hole,NA,"NA_206_Sugar Maple_44.824403_-74.51345_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_12",24,
1112,1112,11/04/2016 - 9:10am,NA,NA,207,11/4/16,309,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),26,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,"fungi, wood chipped",NA,NA_207_Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_26,25,
1385,1385,10/28/2016 - 8:46am,NA,NA,208,10/28/16,302,Fall,Sugar Maple,44.82406,-72.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,"missing branches, missing bark,and tap holes",NA,"NA_208_Sugar Maple_44.82406_-72.513876_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_31",26,
1088,1088,09/21/2016 - 12:42pm,NA,NA,21,9/21/16,265,Fall,Red Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),49,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),NA,NA,NA,"broken branches 

",NA,"NA_21_Red Maple_44.824019_-74.516411_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_49",27,
632,632,10/02/2015 - 10:57am,NA,NA,21,10/2/15,275,Fall,Sugar Maple,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),48,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,NA,NA,"NA_21_Sugar Maple_44.610277_-75.169802_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_48",27,
1199,1199,09/30/2016 - 10:53am,NA,NA,21,9/30/16,274,Fall,Sugar Maple,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,Dead branch.,NA,"NA_21_Sugar Maple_44.610277_-75.169802_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_25",27,
1284,1284,10/11/2016 - 10:52am,NA,NA,21,10/11/16,285,Fall,Sugar Maple,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,Dead branches.,NA,"NA_21_Sugar Maple_44.610277_-75.169802_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_25",27,
1402,1402,11/01/2016 - 10:51am,NA,NA,21,11/1/16,306,Fall,Sugar Maple,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,Dead branches,NA,"NA_21_Sugar Maple_44.610277_-75.169802_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_25",27,
2027,2027,05/13/2016 - 10:54am,at st,NA,21,5/13/16,134,Spring,Sugar Maple,44.610277,75.169802,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),46.75,NA,NA,NA,no,yes,no,at st,yes,"NA_21_Sugar Maple_44.610277_75.169802_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_46.75",27,
996,996,10/05/2016 - 1:03pm,NA,NA,21,10/5/16,279,Fall,Sugar Maple,44.824019,-74.816411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),49,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,broke branches,NA,"NA_21_Sugar Maple_44.824019_-74.816411_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_49",27,
1215,1215,09/23/2016 - 12:56pm,NA,NA,210,9/23/16,267,Fall,Sugar Maple,NA,NA,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),33,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,NO,NA,"NA_210_Sugar Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_33",28,
1375,1375,10/28/2016 - 10:30am,NA,NA,211,10/28/16,302,Fall,Sugar Maple,44.822696,-74.516718,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),56,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,NA,NA,"NA_211_Sugar Maple_44.822696_-74.516718_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_56",29,
1231,1231,10/05/2016 - 9:02am,NA,NA,211,10/5/16,279,Fall,Sugar Maple,44.824019,-73.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),82,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,none,NA,"NA_211_Sugar Maple_44.824019_-73.516411_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_82",29,
1376,1376,10/28/2016 - 10:27am,NA,NA,212,10/28/16,302,Fall,Sugar Maple,44.822696,-74.516718,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),20,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,tree branch broken,NA,"NA_212_Sugar Maple_44.822696_-74.516718_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_20",30,
1220,1220,10/04/2016 - 8:48am,NA,NA,212,10/4/16,278,Fall,Sugar Maple,44.824403,-74.51345,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),20,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,missing limb hole in tree trunk,Bobby joe is our is our tree name,"NA_212_Sugar Maple_44.824403_-74.51345_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_20",30,
1386,1386,10/28/2016 - 10:30am,NA,NA,214,10/28/16,302,Fall,Sugar Maple,44.822,-74.516,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),150,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,NA,NA,"NA_214_Sugar Maple_44.822_-74.516_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_150",31,
1309,1309,11/22/2016 - 8:26am,NA,NA,216,11/22/16,327,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),16,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,none,none,NA_216_Silver Maple_44.774797_-74.987287_Yes_School lawn_Open (more than 5hr per day of direct sun)_16,32,
1377,1377,10/28/2016 - 10:29am,NA,NA,216,10/28/16,302,Fall,Sugar Maple,44.822697,-74.516718,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),27,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,none,NA,"NA_216_Sugar Maple_44.822697_-74.516718_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_27",32,
1221,1221,10/04/2016 - 1:09pm,NA,NA,218,10/4/16,278,Fall,Sugar Maple,44.824403,-74.51345,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,Early:  Only a few leaves have turned color (less than 10%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,NA,none,"NA_218_Sugar Maple_44.824403_-74.51345_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_22",33,
1222,1222,10/04/2016 - 1:12pm,NA,NA,219,10/4/16,278,Fall,Sugar Maple,44.824403,-70.51345,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,LEAVES ARE FALLING,Its name is Maple,"NA_219_Sugar Maple_44.824403_-70.51345_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_28",34,
1387,1387,10/28/2016 - 1:12pm,NA,NA,219,10/28/16,302,Fall,Sugar Maple,44.824403,-74.51345,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,NA,surrounded by dead trees lost most leaves,"NA_219_Sugar Maple_44.824403_-74.51345_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_32",34,
843,843,10/19/2015 - 10:47am,NA,NA,22,10/19/15,292,Fall,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),21,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,branches are missing,NA,"NA_22_Sugar Maple_44.611465_-75.169554_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_21",35,
927,927,10/28/2015 - 10:58am,NA,NA,22,10/28/15,301,Fall,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),21,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,branches are missing,NA,"NA_22_Sugar Maple_44.611465_-75.169554_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_21",35,
1811,1811,04/15/2016 - 10:51am,Canton 22 EWGT,NA,22,4/15/16,106,Spring,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),21,NA,NA,NA,no,no,no,Canton 22 EWGT,Branch is partially broken,"NA_22_Sugar Maple_44.611465_-75.169554_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_21",35,
1878,1878,04/21/2016 - 10:52am,Canton 22 EWGT,NA,22,4/21/16,112,Spring,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),21,NA,NA,NA,yes,no,no,Canton 22 EWGT,Broken branch,"NA_22_Sugar Maple_44.611465_-75.169554_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_21",35,
1959,1959,05/05/2016 - 10:46am,Canton 22 EWGT,NA,22,5/5/16,126,Spring,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),21,NA,NA,NA,yes,no,no,Canton 22 EWGT,broken  branch,"NA_22_Sugar Maple_44.611465_-75.169554_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_21",35,
1025,1025,09/21/2016 - 10:59am,NA,NA,22,9/21/16,265,Fall,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,Middle: Many leaves have turned color,Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,none,NA,"NA_22_Sugar Maple_44.611465_-75.169554_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_32",35,
2018,2018,05/13/2016 - 10:50am,Canton 22 EWGT,NA,22,5/13/16,134,Spring,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),54,NA,NA,NA,yes,yes,no,Canton 22 EWGT,Broken Branch,"NA_22_Sugar Maple_44.611465_-75.169554_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_54",35,
1170,1170,09/30/2016 - 10:54am,NA,NA,22,9/30/16,274,Fall,Sugar Maple,44.611465,-75.169554,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),32,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,no,The name of our tree is called Fredic.,"NA_22_Sugar Maple_44.611465_-75.169554_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_32",35,
1463,1463,11/01/2016 - 10:55am,NA,NA,22,11/1/16,306,Fall,Sugar Maple,44.611465,-75.169554,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),32,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,NA,NA,NA,no,None.,"NA_22_Sugar Maple_44.611465_-75.169554_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_32",35,
700,700,10/02/2015 - 10:54am,NA,NA,22,10/2/15,275,Fall,Sugar Maple,44.611465,-75.169554,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),21,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,NA,NA,NA,branches are missing,NA,"NA_22_Sugar Maple_44.611465_-75.169554_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_21",35,
1285,1285,10/11/2016 - 10:54am,NA,NA,22,10/11/16,285,Fall,Sugar Maple,44.611465,-75.169554,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,none,NA,"NA_22_Sugar Maple_44.611465_-75.169554_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_32",35,
1229,1229,10/04/2016 - 1:10pm,NA,NA,220,10/4/16,278,Fall,Sugar Maple,44.824403,-74.51345,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),27,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,broken branch,Our trees name is willy,"NA_220_Sugar Maple_44.824403_-74.51345_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Shaded (less than 2hr per day of direct sun)_27",36,
1223,1223,10/04/2016 - 1:10pm,NA,NA,221,10/4/16,278,Fall,Red Maple,44.824403,-74.51345,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,broken branch,No,"NA_221_Red Maple_44.824403_-74.51345_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_27",37,
1224,1224,10/04/2016 - 1:09pm,NA,NA,222,10/4/16,278,Fall,Sugar Maple,44.824403,-74.51345,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,no,NA,"NA_222_Sugar Maple_44.824403_-74.51345_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_32",38,
1225,1225,10/04/2016 - 1:15pm,NA,NA,223,10/4/16,278,Fall,Sugar Maple,44.824403,-74.57345,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),45,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,NA,NA,NA,brken braches tap hole,name is margret,"NA_223_Sugar Maple_44.824403_-74.57345_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_45",39,
