"","Serial","Time","Username","Observer","Tree ID","Date","Date_1","Julian","Season","Species","Latitude","Longitude","Urbanization","Habitat","Shading","Circumference","Flowering","Damage","Comments","UniqueID"
"465",465,"10/24/2014 - 1:19pm",NA,NA,NA,2014-10-24,"10/24/14",297,"Fall","Red Maple",NA,NA,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,NA,"NA_Red Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA"
"466",466,"10/24/2014 - 1:15pm",NA,NA,NA,2014-10-24,"10/24/14",297,"Fall","Sugar Maple",NA,NA,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,"40% 13ft","NA_Sugar Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA"
"467",467,"10/24/2014 - 1:17pm",NA,NA,NA,2014-10-24,"10/24/14",297,"Fall","Sugar Maple",NA,NA,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"none","Very small for a maple tree of it's kind.","NA_Sugar Maple_NA_NA_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA"
"468",468,"10/29/2014 - 8:09am",NA,NA,NA,2014-10-29,"10/29/14",302,"Fall","Sugar Maple",NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,"dave is the tallest tree out of them all","NA_Sugar Maple_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"469",469,"11/10/2014 - 7:50am",NA,NA,NA,2014-11-10,"11/10/14",314,"Fall","Sugar Maple",NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,NA,"NA_Sugar Maple_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"470",470,"11/21/2014 - 8:37pm",NA,NA,NA,2014-11-21,"11/21/14",325,"Fall","Sugar Maple",NA,NA,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,NA,"NA_Sugar Maple_NA_NA_Yes_Home lawn_Open (more than 5hr per day of direct sun)_NA"
"471",471,"08/05/2015 - 10:44am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,NA,NA,"NA_Sugar Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"472",472,"08/05/2015 - 10:55am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Open (more than 5hr per day of direct sun)",NA,NA,"None",NA,"NA_Sugar Maple_NA_NA_Yes_School lawn_Open (more than 5hr per day of direct sun)_NA"
"473",473,"08/05/2015 - 10:49am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Red Maple",NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"Dead top",NA,"NA_Red Maple_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"474",474,"08/05/2015 - 10:51am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Norway Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"a few smaller dead/broken branches",NA,"NA_Norway Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"475",475,"08/05/2015 - 10:52am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Red Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"lichen",NA,"NA_Red Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"476",476,"08/05/2015 - 10:52am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Red Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,NA,"NA_Red Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"477",477,"08/05/2015 - 10:49am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"Lichen living on the tree and fungi",NA,"NA_Sugar Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"478",478,"08/05/2015 - 10:54am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"Our tree has several white blotchy spots all over the branches and small moss growths. The trunk has a large chunk missing possibly due to a lightening strike. There is also a smaller bark wound half way up the trunk where insects have created holes. Lastly, a small branch has been pruned from the tree.",NA,"NA_Sugar Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"479",479,"08/05/2015 - 10:54am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Sugar Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"The trunk has some damage, a long groove of trunk missing as though it may have been struck by lightning.  There is a similar type of damage on the opposite side on further up the trunk that has a lot of insect holes.  There are a lot of these white spots on the limbs of the tree as well as green moss spotting areas of the limbs.","lil t","NA_Sugar Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"480",480,"08/05/2015 - 10:46am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Sugar Maple",NA,NA,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"None",NA,"NA_Sugar Maple_NA_NA_Yes_School paved area_Partially Shaded (2-5hr per day of direct sun)_NA"
"481",481,"08/05/2015 - 10:51am",NA,NA,NA,2015-08-05,"8/5/15",217,"Fall","Norway Maple",NA,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"few dead branches, missing some bark",NA,"NA_Norway Maple_NA_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"482",482,"10/02/2015 - 12:51pm",NA,NA,35,2015-10-02,"10/2/15",275,"Fall","Sugar Maple",44.611436,-75.16954,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",37,NA,NA,NA,"35_Sugar Maple_44.611436_-75.16954_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_37"
"483",483,"09/04/2015 - 1:56pm",NA,NA,NA,2015-09-04,"9/4/15",247,"Fall","Sugar Maple",44.592488,-75.159389,"Yes","School lawn","Open (more than 5hr per day of direct sun)",31,NA,"None",NA,"NA_Sugar Maple_44.592488_-75.159389_Yes_School lawn_Open (more than 5hr per day of direct sun)_31"
"484",484,"09/07/2015 - 8:13am",NA,NA,NA,2015-09-07,"9/7/15",250,"Fall","Sugar Maple",44.591097,-75.164052,"Yes","School lawn","Open (more than 5hr per day of direct sun)",241,NA,"large growth of some sort of fungi",NA,"NA_Sugar Maple_44.591097_-75.164052_Yes_School lawn_Open (more than 5hr per day of direct sun)_241"
"485",485,"09/08/2015 - 10:33pm",NA,NA,NA,2015-09-08,"9/8/15",251,"Fall","Sugar Maple",44.09289,-76.01157,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",43,NA,"One dead limb towards the top",NA,"NA_Sugar Maple_44.09289_-76.01157_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_43"
"486",486,"09/08/2015 - 9:42pm",NA,NA,NA,2015-09-08,"9/8/15",251,"Fall","Sugar Maple",44.591426,-75.161417,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",48,NA,"none",NA,"NA_Sugar Maple_44.591426_-75.161417_Yes_School paved area_Partially Shaded (2-5hr per day of direct sun)_48"
"487",487,"09/07/2015 - 8:18am",NA,NA,NA,2015-09-07,"9/7/15",250,"Fall","Sugar Maple",44.35284,-75.09558,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",36,NA,"A good bit of browning on the tips.","our tree is the tallest","NA_Sugar Maple_44.35284_-75.09558_Yes_Home lawn_Open (more than 5hr per day of direct sun)_36"
"488",488,"09/07/2015 - 7:26am",NA,NA,NA,2015-09-07,"9/7/15",250,"Fall","Sugar Maple",44.592631,-75.160967,"Yes","School lawn","Open (more than 5hr per day of direct sun)",20,NA,"Southern-most branch cut off, browning leaves, mulch volcano",NA,"NA_Sugar Maple_44.592631_-75.160967_Yes_School lawn_Open (more than 5hr per day of direct sun)_20"
"489",489,"09/06/2015 - 10:06pm",NA,NA,NA,2015-09-06,"9/6/15",249,"Fall","Sugar Maple",44.591591,-75.163783,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",44,NA,"None",NA,"NA_Sugar Maple_44.591591_-75.163783_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_44"
"490",490,"09/06/2015 - 9:24pm",NA,NA,NA,2015-09-06,"9/6/15",249,"Fall","Sugar Maple",44.59,-75.16,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",68,NA,"some of the top branches look bare and sickly",NA,"NA_Sugar Maple_44.59_-75.16_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_68"
"491",491,"09/07/2015 - 8:01am",NA,NA,NA,2015-09-07,"9/7/15",250,"Fall","Red Maple",44.591182,-75.165645,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",23,NA,"Damaged trunk, broken missing limbs",NA,"NA_Red Maple_44.591182_-75.165645_Yes_Home lawn_Open (more than 5hr per day of direct sun)_23"
"492",492,"09/08/2015 - 2:48pm",NA,NA,73,2015-09-08,"9/8/15",251,"Fall","Red Maple",44,-74,"Yes","School lawn","Open (more than 5hr per day of direct sun)",25.5,NA,NA,NA,"73_Red Maple_44_-74_Yes_School lawn_Open (more than 5hr per day of direct sun)_25.5"
"493",493,"09/07/2015 - 7:53am",NA,NA,NA,2015-09-07,"9/7/15",250,"Fall","Sugar Maple",44.594621,-75.163152,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",24,NA,NA,",fjxhbn","NA_Sugar Maple_44.594621_-75.163152_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_24"
"494",494,"09/07/2015 - 8:11am",NA,NA,NA,2015-09-07,"9/7/15",250,"Fall","Sugar Maple",44.591263,-75.162505,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",63,NA,"Evidence of extensive trimming some substantial bark lok",NA,"NA_Sugar Maple_44.591263_-75.162505_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_63"
"495",495,"09/07/2015 - 8:13am",NA,NA,NA,2015-09-07,"9/7/15",250,"Fall","Sugar Maple",NA,-75.164918,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",67,NA,"some branches in the middle have been cut off

one little branch looks to have dying burnt red shriveled leaves on it","Name is craigy jeff","NA_Sugar Maple_NA_-75.164918_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_67"
"496",496,"09/09/2015 - 8:02pm",NA,NA,NA,2015-09-09,"9/9/15",252,"Fall","Sugar Maple",44.591887,-75.164819,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",28,NA,NA,NA,"NA_Sugar Maple_44.591887_-75.164819_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_28"
"497",497,"09/07/2015 - 8:14am",NA,NA,NA,2015-09-07,"9/7/15",250,"Fall","Sugar Maple",44.59051,-75.164306,"Yes","School lawn","Shaded (less than 2hr per day of direct sun)",32,NA,"A little spotting of fungi on a couple branches. Other than that the Sugar Maple looks healthy and has all of its limb intact.","lil t","NA_Sugar Maple_44.59051_-75.164306_Yes_School lawn_Shaded (less than 2hr per day of direct sun)_32"
"498",498,"09/08/2015 - 10:01am",NA,NA,65,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.558448,-74.947446,"Yes","School lawn","Open (more than 5hr per day of direct sun)",33,NA,"A little damage.",NA,"65_Red Maple_44.558448_-74.947446_Yes_School lawn_Open (more than 5hr per day of direct sun)_33"
"499",499,"09/08/2015 - 2:04pm",NA,NA,68,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.558588,-74.947612,"Yes","School lawn","Open (more than 5hr per day of direct sun)",14,NA,"None","cr","68_Red Maple_44.558588_-74.947612_Yes_School lawn_Open (more than 5hr per day of direct sun)_14"
"500",500,"09/08/2015 - 10:03am",NA,NA,NA,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.5,-74.9,"Yes","School lawn","Open (more than 5hr per day of direct sun)",30,NA,"Damage on the bark, the bark is splitting",NA,"NA_Red Maple_44.5_-74.9_Yes_School lawn_Open (more than 5hr per day of direct sun)_30"
"501",501,"09/08/2015 - 9:23am",NA,NA,61,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.56,-74.95,"Yes","School paved area","Open (more than 5hr per day of direct sun)",18,NA,"fungus","our tree is the tallest","61_Red Maple_44.56_-74.95_Yes_School paved area_Open (more than 5hr per day of direct sun)_18"
"502",502,"09/08/2015 - 9:20am",NA,NA,62,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.56,-74.95,"Yes","School paved area","Open (more than 5hr per day of direct sun)",14,NA,NA,NA,"62_Red Maple_44.56_-74.95_Yes_School paved area_Open (more than 5hr per day of direct sun)_14"
"503",503,"09/08/2015 - 9:22am",NA,NA,62,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.56,-74.95,"Yes","School paved area","Open (more than 5hr per day of direct sun)",14,NA,NA,NA,"62_Red Maple_44.56_-74.95_Yes_School paved area_Open (more than 5hr per day of direct sun)_14"
"504",504,"09/08/2015 - 10:02am",NA,NA,63,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.558448,-74.947446,"Yes","School paved area","Open (more than 5hr per day of direct sun)",53,NA,"Cracks in the tree",NA,"63_Red Maple_44.558448_-74.947446_Yes_School paved area_Open (more than 5hr per day of direct sun)_53"
"505",505,"09/08/2015 - 2:02pm",NA,NA,69,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.56,-74.95,"Yes","School paved area","Open (more than 5hr per day of direct sun)",13,NA,"No",NA,"69_Red Maple_44.56_-74.95_Yes_School paved area_Open (more than 5hr per day of direct sun)_13"
"506",506,"09/08/2015 - 2:07pm",NA,NA,69,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.56,-74.95,"Yes","School paved area","Open (more than 5hr per day of direct sun)",13,NA,NA,NA,"69_Red Maple_44.56_-74.95_Yes_School paved area_Open (more than 5hr per day of direct sun)_13"
"507",507,"09/08/2015 - 2:47pm",NA,NA,71,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.558588,-73.947612,"Yes","School paved area","Open (more than 5hr per day of direct sun)",23,NA,"None Visable",NA,"71_Red Maple_44.558588_-73.947612_Yes_School paved area_Open (more than 5hr per day of direct sun)_23"
"508",508,"09/08/2015 - 2:47pm",NA,NA,71,2015-09-08,"9/8/15",251,"Fall","Silver Maple",44.558588,-74.947612,"Yes","School paved area","Open (more than 5hr per day of direct sun)",23,NA,"none visible",NA,"71_Silver Maple_44.558588_-74.947612_Yes_School paved area_Open (more than 5hr per day of direct sun)_23"
"509",509,"09/08/2015 - 2:48pm",NA,NA,72,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.558589,-74.947612,"Yes","School paved area","Open (more than 5hr per day of direct sun)",23,NA,NA,"lil t","72_Red Maple_44.558589_-74.947612_Yes_School paved area_Open (more than 5hr per day of direct sun)_23"
"510",510,"09/08/2015 - 2:48pm",NA,NA,72,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.558589,-74.947612,"Yes","School paved area","Open (more than 5hr per day of direct sun)",23,NA,NA,NA,"72_Red Maple_44.558589_-74.947612_Yes_School paved area_Open (more than 5hr per day of direct sun)_23"
"511",511,"09/08/2015 - 2:49pm",NA,NA,73,2015-09-08,"9/8/15",251,"Fall","Red Maple",44,-74,"Yes","School paved area","Open (more than 5hr per day of direct sun)",25,NA,NA,NA,"73_Red Maple_44_-74_Yes_School paved area_Open (more than 5hr per day of direct sun)_25"
"512",512,"09/08/2015 - 2:02pm",NA,NA,NA,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.56,-74.95,"Yes","School paved area","Open (more than 5hr per day of direct sun)",13,NA,"None","tallest tree","NA_Red Maple_44.56_-74.95_Yes_School paved area_Open (more than 5hr per day of direct sun)_13"
"513",513,"09/08/2015 - 10:02am",NA,NA,30,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.558448,NA,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",30,NA,"splitting in the bark",NA,"30_Red Maple_44.558448_NA_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_30"
"514",514,"09/08/2015 - 10:02am",NA,NA,64,2015-09-08,"9/8/15",251,"Fall","Sugar Maple",44.558448,-74.947446,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",30,NA,"Splitting in the bark.",NA,"64_Sugar Maple_44.558448_-74.947446_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_30"
"515",515,"09/08/2015 - 10:02am",NA,NA,66,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.558448,-74.947446,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",30,NA,"bark is missing in spots.","lil t","66_Red Maple_44.558448_-74.947446_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_30"
"516",516,"09/08/2015 - 2:03pm",NA,NA,67,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.55,-74.94,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",31,NA,NA,NA,"67_Red Maple_44.55_-74.94_Yes_School paved area_Partially Shaded (2-5hr per day of direct sun)_31"
"517",517,"09/08/2015 - 2:05pm",NA,NA,67,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.55,-74.94,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",31,NA,NA,NA,"67_Red Maple_44.55_-74.94_Yes_School paved area_Partially Shaded (2-5hr per day of direct sun)_31"
"518",518,"09/08/2015 - 2:49pm",NA,NA,70,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.558588,-74.947612,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",17,NA,NA,"lil t","70_Red Maple_44.558588_-74.947612_Yes_School paved area_Partially Shaded (2-5hr per day of direct sun)_17"
"519",519,"09/08/2015 - 2:49pm",NA,NA,70,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.558588,-74.947612,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",17,NA,NA,"tallest tree","70_Red Maple_44.558588_-74.947612_Yes_School paved area_Partially Shaded (2-5hr per day of direct sun)_17"
"520",520,"09/16/2015 - 11:02am",NA,NA,NA,2015-09-16,"9/16/15",259,"Fall","Silver Maple",44.371829,-75.243672,"Yes","School lawn","Open (more than 5hr per day of direct sun)",17,NA,"healthy, scratched",NA,"NA_Silver Maple_44.371829_-75.243672_Yes_School lawn_Open (more than 5hr per day of direct sun)_17"
"521",521,"09/08/2015 - 9:21am",NA,NA,61,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.557164,-74.945708,"Yes","School paved area","Open (more than 5hr per day of direct sun)",18,NA,"fungi on trunk and splitting bark on trunk",NA,"61_Red Maple_44.557164_-74.945708_Yes_School paved area_Open (more than 5hr per day of direct sun)_18"
"522",522,"09/08/2015 - 9:22am",NA,NA,62,2015-09-08,"9/8/15",251,"Fall","Red Maple",44.56,-74.95,"Yes","School paved area","Open (more than 5hr per day of direct sun)",15,NA,NA,NA,"62_Red Maple_44.56_-74.95_Yes_School paved area_Open (more than 5hr per day of direct sun)_15"
"523",523,"09/16/2015 - 11:03am",NA,NA,NA,2015-09-16,"9/16/15",259,"Fall","Silver Maple",44.415188,-75.2922,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",57,NA,"my tree is healthy and has no damage and has no fruit and it does have insects who go on the tree.",NA,"NA_Silver Maple_44.415188_-75.2922_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_57"
"524",524,"09/17/2015 - 11:06am",NA,NA,NA,2015-09-17,"9/17/15",260,"Fall","Sugar Maple",44.372599,-75.242788,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Partially Shaded (2-5hr per day of direct sun)",NA,NA,NA,NA,"NA_Sugar Maple_44.372599_-75.242788_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Partially Shaded (2-5hr per day of direct sun)_NA"
"525",525,"09/30/2015 - 10:49am",NA,NA,NA,2015-09-30,"9/30/15",273,"Fall","Sugar Maple",44.372514,-75.242754,"No","School lawn","Partially Shaded (2-5hr per day of direct sun)",9,NA,"none",NA,"NA_Sugar Maple_44.372514_-75.242754_No_School lawn_Partially Shaded (2-5hr per day of direct sun)_9"
"526",526,"09/14/2015 - 2:17pm",NA,NA,NA,2015-09-14,"9/14/15",257,"Fall","Sugar Maple",44.166553,-75.048304,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Open (more than 5hr per day of direct sun)",36,NA,"holes in the leaves",NA,"NA_Sugar Maple_44.166553_-75.048304_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_36"
"527",527,"10/26/2015 - 10:58am",NA,NA,NA,2015-10-26,"10/26/15",299,"Fall","Silver Maple",44.415188,-75.2922,"Yes","Home lawn","Partially Shaded (2-5hr per day of direct sun)",57,NA,"healthy","jillypoopoo","NA_Silver Maple_44.415188_-75.2922_Yes_Home lawn_Partially Shaded (2-5hr per day of direct sun)_57"
"528",528,"09/14/2015 - 2:10pm",NA,NA,NA,2015-09-14,"9/14/15",257,"Fall","Red Maple",44.16651,-75.048291,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",23,NA,"broken/missing limbs",NA,"NA_Red Maple_44.16651_-75.048291_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_23"
"529",529,"09/14/2015 - 2:07pm",NA,NA,NA,2015-09-14,"9/14/15",257,"Fall","Sugar Maple",44.167099,-75.049072,"No","School lawn","Partially Shaded (2-5hr per day of direct sun)",50,NA,"no disease or damage",NA,"NA_Sugar Maple_44.167099_-75.049072_No_School lawn_Partially Shaded (2-5hr per day of direct sun)_50"
"530",530,"09/14/2015 - 2:08pm",NA,NA,NA,2015-09-14,"9/14/15",257,"Fall","Sugar Maple",44.166403,-75.048173,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",NA,NA,"yes",NA,"NA_Sugar Maple_44.166403_-75.048173_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_NA"
"531",531,"09/14/2015 - 2:09pm",NA,NA,NA,2015-09-14,"9/14/15",257,"Fall","Sugar Maple",44.166564,-75.048321,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",19,NA,"nots, and moss is on the tree.","still young","NA_Sugar Maple_44.166564_-75.048321_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_19"
"532",532,"09/14/2015 - 2:16pm",NA,NA,NA,2015-09-14,"9/14/15",257,"Fall","Sugar Maple",44.16633,-75.048121,"No","School lawn","Partially Shaded (2-5hr per day of direct sun)",9,NA,"none",NA,"NA_Sugar Maple_44.16633_-75.048121_No_School lawn_Partially Shaded (2-5hr per day of direct sun)_9"
"533",533,"09/14/2015 - 2:04pm",NA,NA,NA,2015-09-14,"9/14/15",257,"Fall","Sugar Maple",44.167031,-75.049386,"No","School lawn","Shaded (less than 2hr per day of direct sun)",18,NA,"None to be seen.",NA,"NA_Sugar Maple_44.167031_-75.049386_No_School lawn_Shaded (less than 2hr per day of direct sun)_18"
"534",534,"09/14/2015 - 9:40am",NA,NA,65,2015-09-14,"9/14/15",257,"Fall","Red Maple",44.557267,-74.946043,"Yes","School lawn","Open (more than 5hr per day of direct sun)",33,NA,"Little Damage",NA,"65_Red Maple_44.557267_-74.946043_Yes_School lawn_Open (more than 5hr per day of direct sun)_33"
"535",535,"09/14/2015 - 1:44pm",NA,NA,68,2015-09-14,"9/14/15",257,"Fall","Red Maple",44.6,-75,"Yes","School lawn","Open (more than 5hr per day of direct sun)",14,NA,"None",NA,"68_Red Maple_44.6_-75_Yes_School lawn_Open (more than 5hr per day of direct sun)_14"
"536",536,"09/14/2015 - 8:54am",NA,NA,61,2015-09-14,"9/14/15",257,"Fall","Red Maple",44.557025,-74.945679,"Yes","School paved area","Open (more than 5hr per day of direct sun)",18,NA,"Healthy tree with fungus growing on trunk",NA,"61_Red Maple_44.557025_-74.945679_Yes_School paved area_Open (more than 5hr per day of direct sun)_18"
"537",537,"09/14/2015 - 1:45pm",NA,NA,69,2015-09-14,"9/14/15",257,"Fall","Red Maple",44.56,-74.95,"Yes","School paved area","Open (more than 5hr per day of direct sun)",13,NA,NA,NA,"69_Red Maple_44.56_-74.95_Yes_School paved area_Open (more than 5hr per day of direct sun)_13"
"538",538,"09/14/2015 - 9:37am",NA,NA,64,2015-09-14,"9/14/15",257,"Fall","Silver Maple",44.557267,-74.946043,"Yes","School lawn","Partially Shaded (2-5hr per day of direct sun)",19,NA,"splitting in the bark","Part of the tree has been cut. Possibly for looks, maybe because of Disease","64_Silver Maple_44.557267_-74.946043_Yes_School lawn_Partially Shaded (2-5hr per day of direct sun)_19"
"539",539,"09/14/2015 - 1:43pm",NA,NA,67,2015-09-14,"9/14/15",257,"Fall","Red Maple",44.55,-74.94,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",31,NA,NA,NA,"67_Red Maple_44.55_-74.94_Yes_School paved area_Partially Shaded (2-5hr per day of direct sun)_31"
"540",540,"09/14/2015 - 2:25pm",NA,NA,70,2015-09-14,"9/14/15",257,"Fall","Red Maple",44.558379,-74.947338,"Yes","School paved area","Partially Shaded (2-5hr per day of direct sun)",17,NA,NA,NA,"70_Red Maple_44.558379_-74.947338_Yes_School paved area_Partially Shaded (2-5hr per day of direct sun)_17"
"541",541,"09/14/2015 - 2:29pm",NA,NA,73,2015-09-14,"9/14/15",257,"Fall","Red Maple",44,-74,"No","School paved area","Partially Shaded (2-5hr per day of direct sun)",64,NA,NA,NA,"73_Red Maple_44_-74_No_School paved area_Partially Shaded (2-5hr per day of direct sun)_64"
"542",542,"09/15/2014 - 2:03pm",NA,NA,NA,2014-09-15,"9/15/14",258,"Fall","Norway Maple",NA,NA,"Yes","School paved area","Open (more than 5hr per day of direct sun)",NA,NA,"None.",NA,"NA_Norway Maple_NA_NA_Yes_School paved area_Open (more than 5hr per day of direct sun)_NA"
"543",543,"09/18/2015 - 2:26pm",NA,NA,NA,2015-09-18,"9/18/15",261,"Fall","Sugar Maple",44.166344,-75.048097,"No","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Open (more than 5hr per day of direct sun)",36,NA,"leaves have lots of holes in them","The lower branches are pruned to 8 feet above the ground","NA_Sugar Maple_44.166344_-75.048097_No_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_36"
"544",544,"09/29/2015 - 10:45am",NA,NA,NA,2015-09-29,"9/29/15",272,"Fall","Sugar Maple",44.37267,-75.24256,"Yes","Natural Setting (non-developed park, refuge, nature center, open space, forest)","Open (more than 5hr per day of direct sun)",7,NA,"split trunck and some broken limbs","Green fungi on lower trunk","NA_Sugar Maple_44.37267_-75.24256_Yes_Natural Setting (non-developed park, refuge, nature center, open space, forest)_Open (more than 5hr per day of direct sun)_7"
