Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
280,09/25/2014 - 1:26pm,,,,9/25/14,9/25/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,no damage.,"Tall, leafy"
281,09/25/2014 - 1:18pm,,,,9/25/14,9/25/14,,Fall,Sugar Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,heathy,memorial tree 
282,09/25/2014 - 1:18pm,,,,9/25/14,9/25/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,Memorial tree
283,09/25/2014 - 1:19pm,,,,9/25/14,9/25/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,
284,09/25/2014 - 1:24pm,,,,9/25/14,9/25/14,,Fall,Sugar Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,
285,09/25/2014 - 1:19pm,,,,9/25/14,9/25/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,cuts
286,09/25/2014 - 1:16pm,,,,9/25/14,9/25/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,tree has partly fallen
287,09/25/2014 - 1:28pm,,,,9/25/14,9/25/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,
288,09/25/2014 - 1:28pm,,,,9/25/14,9/25/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,
289,09/25/2014 - 10:47am,,,,9/25/14,9/25/14,,Fall,Silver Maple,,,Yes,School lawn,Shaded (less than 2hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,Missing Branch,
290,09/30/2014 - 1:14pm,,,,9/30/14,9/30/14,,Fall,Red Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,yes we do our tree as bumbs and fallen limbs ,
291,09/30/2014 - 1:18pm,,,,9/30/14,9/30/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
292,09/26/2014 - 1:25pm,,,,9/26/14,9/26/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,little,
293,09/26/2014 - 1:25pm,,,,9/26/14,9/26/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
294,09/26/2014 - 1:26pm,,,,9/26/14,9/26/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,few broken branches,
295,09/26/2014 - 1:26pm,,,,9/26/14,9/26/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,broken branches.,It has been taped before. 
296,09/26/2014 - 1:27pm,,,,9/26/14,9/26/14,,Fall,Red Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,"ITS NAME IS GRAMCRACKER



"
297,09/26/2014 - 1:27pm,,,,9/26/14,9/26/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,broken limes,was tapped
298,09/26/2014 - 1:28pm,,,,9/26/14,9/26/14,,Fall,Red Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,10% damage,
299,09/30/2014 - 1:10pm,,,,9/30/14,9/30/14,,Fall,Red Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,we named our tree super sayin god goku
300,09/30/2014 - 1:12pm,,,,9/30/14,9/30/14,,Fall,Red Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,"The name is The Graffiti Tree.



The tree has been tapped."
301,09/30/2014 - 1:14pm,,,,9/30/14,9/30/14,,Fall,Red Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,bumps,","
302,09/30/2014 - 1:14pm,,,,9/30/14,9/30/14,,Fall,Red Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,bumps,
303,09/30/2014 - 1:14pm,,,,9/30/14,9/30/14,,Fall,Red Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,bumps,"tree name is wilson

"
304,09/30/2014 - 1:12pm,,,,9/30/14,9/30/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,Broken limbs,"tree's name,Levey"
305,09/26/2014 - 1:25pm,,,,9/26/14,9/26/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,healthy,was taped
306,09/26/2014 - 1:25pm,,,,9/26/14,9/26/14,,Fall,Red Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,healthy,near broken car
307,09/26/2014 - 1:26pm,,,,9/26/14,9/26/14,,Fall,Sugar Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,scratches,
308,09/30/2014 - 1:12pm,,,,9/30/14,9/30/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,None
309,10/21/2014 - 9:50am,,,,10/21/14,10/21/14,,Fall,Norway Maple,,,No,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
310,10/23/2014 - 2:25pm,,,,10/23/14,10/23/14,,Fall,Sugar Maple,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Central leader has died.  ,
311,10/23/2014 - 3:26pm,,,,10/23/14,10/23/14,,Fall,Sugar Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
312,10/02/2014 - 7:44am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,no
313,10/02/2014 - 1:41pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
314,09/26/2014 - 12:44pm,,,,9/26/14,9/26/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
315,10/02/2014 - 1:39pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,few limbs missing,"name graffiti tree

"
316,10/02/2014 - 1:39pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Broken/Missing Limbs,name is goku
317,10/02/2014 - 1:40pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,none
318,10/02/2014 - 1:40pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,It has been taped before.
319,10/02/2014 - 1:40pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,top branches broken,no leaves
320,10/02/2014 - 1:40pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,Our trees name is Walley.
321,10/02/2014 - 1:41pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,mold,PRETTY TREE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
322,10/02/2014 - 1:44pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,PRETTY TREE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
323,10/02/2014 - 11:40am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,A couple of dead leaves.,
324,10/02/2014 - 11:41am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
325,10/02/2014 - 11:41am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,NONE
326,10/02/2014 - 11:41am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,Our tree's name is Gramcracker.
327,10/02/2014 - 11:41am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,"taped before

"
328,10/02/2014 - 11:41am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,
329,10/02/2014 - 11:41am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,broken limbs,the trees name is graffiti.  
330,10/02/2014 - 11:42am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,we named it goku
331,10/02/2014 - 11:42am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,,Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,
332,10/02/2014 - 11:43am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,Brocken Branch,the trees name is graffiti. 
333,10/02/2014 - 11:47am,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,
334,10/02/2014 - 12:47pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,the trees name is grahmcracker
335,10/02/2014 - 12:48pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,the trees name is grahmcracker
336,10/02/2014 - 12:48pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,tree name leavy
337,10/02/2014 - 12:48pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,Tall and straight
338,10/02/2014 - 12:49pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,NONE,
339,10/02/2014 - 12:49pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,,none
340,10/02/2014 - 12:49pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,"Are tree is very healthy. Are tree has already has been taped. 



"
341,10/02/2014 - 12:51pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"beetles that  eat the trees

",
342,10/02/2014 - 12:51pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"beetles that  eat the trees

",
343,10/02/2014 - 12:53pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,nothing,
344,10/02/2014 - 12:49pm,,,,10/2/14,10/2/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
345,10/02/2014 - 11:42am,,,,10/2/14,10/2/14,,Fall,Red Maple,,,No,School garden,Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
346,10/03/2014 - 10:00am,,,,10/3/14,10/3/14,,Fall,Red Maple,,,Yes,School lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
347,10/03/2014 - 10:32am,,,,10/3/14,10/3/14,,Fall,Red Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"cracks

",
348,10/03/2014 - 10:36am,,,,10/3/14,10/3/14,,Fall,Red Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,There were a bunch of cracks in the tree. 
349,10/03/2014 - 10:34am,,,,10/3/14,10/3/14,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"Split bark, rough spots","Growth Cracks, Sprouts coming in."
350,10/03/2014 - 10:35am,,,,10/3/14,10/3/14,,Fall,Silver Maple,,,Yes,School paved area,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,deep scarps,
351,10/03/2014 - 10:36am,,,,10/3/14,10/3/14,,Fall,Red Maple,,,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
352,10/03/2014 - 9:54am,,,,10/3/14,10/3/14,,Fall,Red Maple,,,Yes,School paved area,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Lichen on the side of the tree.,
353,10/03/2014 - 9:53am,,,,10/3/14,10/3/14,,Fall,Silver Maple,,,Yes,School lawn,Shaded (less than 2hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Branch missing,
354,10/21/2014 - 9:49am,,,,10/21/14,10/21/14,,Fall,Sugar Maple,,,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,"Our tree was healthy, tall, wide, and there was a missing branch."
355,10/08/2014 - 10:49am,,,,10/8/14,10/8/14,,Fall,Sugar Maple,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,insect eggs on it 
356,10/08/2015 - 11:35am,,,29,10/8/15,10/8/15,,Fall,Sugar Maple,44.611203,-75.169027,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),12,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"moss on trunk, holy leaves",
357,10/23/2014 - 2:37pm,,,,10/23/14,10/23/14,,Fall,Norway Maple,,,Yes,Home lawn,Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
358,10/10/2014 - 1:40pm,,,,10/10/14,10/10/14,,Fall,Norway Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,, healthy 
359,10/10/2014 - 8:39am,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,a branch broke off,
360,10/10/2014 - 1:36pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,some top branches broken,"Tall,Healthy,and Full"
361,10/10/2014 - 1:38pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Broken/Missing Limbs,
362,10/10/2014 - 1:38pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,NICE AND BIG 
363,10/10/2014 - 1:38pm,,,,10/10/14,10/10/14,,Fall,Sugar Maple,,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,none,
